pais,regio,lifexp,population,gdp
Abkhazia,0,,,
Afghanistan,1,31.94,9671046,
Akrotiri and Dhekelia,0,,,
Albania,0,62.87,1610565,
Algeria,2,47.5,10799997,1280.384828
American Samoa,1,,20041,
Andorra,0,,13377,
Angola,2,35.98,4963068,
Anguilla,3,,5863,
Antigua and Barbuda,3,62.97,54657,
Argentina,3,65.39,20625451,5251.876754
Armenia,0,66.86,1867396,
Aruba,3,65.66,54209,
Australia,1,70.87,10286184,9407.685082
Austria,0,68.75,7042634,7434.183717
Azerbaijan,0,61.33,3894494,
Bahamas,3,62,109527,11926.46097
Bahrain,1,51.64,161825,
Bangladesh,1,46.2,50101943,254.8250791
Barbados,3,61.8,230831,3396.945712
Belarus,0,71.59,8190006,
Belgium,0,69.59,9152271,7454.716536
Belize,3,60.08,92633,950.4240054
Benin,2,38.29,2419644,256.9787667
Bermuda,3,,44713,19588.6127
Bhutan,1,35.94,225993,
Bolivia,3,43.77,3354895,894.7569722
Bosnia and Herzegovina,0,62.56,3180020,
Botswana,2,50.34,523997,237.5222245
Brazil,3,55.27,72758801,1447.843809
British Virgin Islands,3,,8015,
Brunei,1,62.52,79846,
Bulgaria,0,69.22,7867008,
Burkina Faso,2,35.21,4881947,122.207837
Burundi,2,40.58,2940498,116.0098612
Cambodia,1,42.29,5433306,
Cameroon,2,43.46,5409083,469.2004319
Canada,3,71,17909009,9374.882816
Cape Verde,2,50.12,210933,
Cayman Islands,3,,8092,
Central African Republic,2,37.43,1503509,355.8227575
Chad,2,40.95,2954088,253.9441747
Channel Islands,0,70.74,109396,
Chile,3,56.85,7651579,1841.080148
China,1,30.53,658270094,105.4589882
Christmas Island,1,,,
Cocos Island,1,,,
Colombia,3,58.03,16004714,1188.253526
Comoros,2,44.04,193052,
Congo- Dem. Rep.,2,43.9,15367539,324.9031665
Congo- Rep.,2,48.25,1013581,617.7375477
Cook Is,1,,18259,
Costa Rica,3,61.97,1334004,1797.966457
Cote d'Ivoire,2,38,3638385,550.6903451
Croatia,0,64.85,4045251,
Cuba,3,63.85,7133582,
Cyprus,0,69.72,572997,
Czech Republic,0,70.58,9521854,
Czechoslovakia,0,,13654088,
Denmark,0,72.28,4579770,11390.66975
Djibouti,2,45.77,84877,
Dominica,3,,60015,
Dominican Republic,3,53.37,3308941,912.469538
East Germany,0,,,
Ecuador,3,54.09,4439206,820.3111139
Egypt,2,48.31,27903093,430.3645317
El Salvador,3,52.02,2773095,1448.829523
Equatorial Guinea,2,37.69,252115,
Eritrea,2,39.03,1423599,
Eritrea and Ethiopia,2,,25783370,
Estonia,0,69.42,1216003,
Ethiopia,2,37.72,22553350,
Faeroe Islands,0,,34334,
Falkland Is (Malvinas),3,,2144,
Fiji,1,55.7,393366,1111.127298
